國文,英文,數學,社會,自然
14,14,13,11,11
8,6,15,11,10
7,10,14,13,14
6,8,7,9,7
15,9,14,7,11
9,13,10,6,12
10,10,15,13,6
11,14,6,12,14
6,14,8,13,11
13,11,9,6,15
11,13,12,14,6
10,15,10,13,14
13,10,11,12,8
15,9,7,13,14
13,14,12,15,13
12,12,7,10,7
9,9,13,7,8
7,10,9,10,10
14,8,8,11,10
14,14,12,15,13
12,7,8,12,10
8,13,13,11,6
14,10,12,10,9
7,8,7,12,6
11,14,13,7,10
8,6,9,10,13
9,14,9,7,8
10,10,6,12,8
13,13,9,6,10
13,7,11,7,11
12,14,10,12,6
15,9,6,14,12
11,14,10,10,15
15,7,7,14,15
12,7,8,14,12
12,8,12,11,12
13,9,6,12,11
7,12,13,14,14
9,8,9,11,15
7,9,8,12,6
7,10,14,12,8
8,7,9,7,10
8,9,12,15,11
13,13,7,13,11
15,14,15,12,11
6,8,14,8,11
8,13,13,12,13
9,12,6,13,11
6,9,15,15,10
7,9,7,9,13
12,11,12,10,9
15,13,10,10,9
11,7,7,10,13
13,8,9,15,8
11,14,9,8,15
14,10,11,11,9
9,9,14,15,10
13,6,10,7,10
14,11,11,13,15
7,9,8,15,7
11,10,9,13,13
13,6,10,15,10
10,6,14,6,14
9,13,9,15,12
14,6,9,9,7
13,8,13,14,6
14,12,9,13,10
11,9,12,8,14
10,6,11,6,8
8,6,6,10,13
12,12,14,12,10
14,10,7,12,7
14,13,10,15,8
13,9,8,11,11
7,15,14,10,8
8,11,11,12,6
12,7,7,15,14
10,15,14,14,15
8,13,14,10,8
12,12,13,15,8
13,9,9,7,6
12,15,9,14,13
8,12,11,15,10
11,10,14,12,11
11,8,7,9,12
9,6,15,11,6
6,8,10,10,10
14,15,15,10,12
8,12,7,13,8
7,14,8,9,8
8,13,8,10,15
12,10,9,8,13
15,15,10,12,11
8,6,10,11,12
15,8,12,14,8
7,7,7,11,6
7,9,12,12,14
9,6,10,7,15
13,8,9,11,6
11,6,15,6,15
