Date,Total_cases,New_cases,Total_deaths,New_deaths,Total_vaccinations,New_vaccinations
2020/1/16,0,0,0,0,0,0
2020/1/17,0,0,0,0,0,0
2020/1/18,0,0,0,0,0,0
2020/1/19,0,0,0,0,0,0
2020/1/20,0,0,0,0,0,0
2020/1/21,0,0,0,0,0,0
2020/1/22,1,0,0,0,0,0
2020/1/23,1,0,0,0,0,0
2020/1/24,3,2,0,0,0,0
2020/1/25,3,0,0,0,0,0
2020/1/26,4,1,0,0,0,0
2020/1/27,5,1,0,0,0,0
2020/1/28,8,3,0,0,0,0
2020/1/29,8,0,0,0,0,0
2020/1/30,9,1,0,0,0,0
2020/1/31,10,1,0,0,0,0
2020/2/1,10,0,0,0,0,0
2020/2/2,10,0,0,0,0,0
2020/2/3,10,0,0,0,0,0
2020/2/4,11,1,0,0,0,0
2020/2/5,11,0,0,0,0,0
2020/2/6,16,5,0,0,0,0
2020/2/7,16,0,0,0,0,0
2020/2/8,17,1,0,0,0,0
2020/2/9,18,1,0,0,0,0
2020/2/10,18,0,0,0,0,0
2020/2/11,18,0,0,0,0,0
2020/2/12,18,0,0,0,0,0
2020/2/13,18,0,0,0,0,0
2020/2/14,18,0,0,0,0,0
2020/2/15,18,0,0,0,0,0
2020/2/16,20,2,1,1,0,0
2020/2/17,22,2,1,0,0,0
2020/2/18,22,0,1,0,0,0
2020/2/19,23,1,1,0,0,0
2020/2/20,24,1,1,0,0,0
2020/2/21,26,2,1,0,0,0
2020/2/22,26,0,1,0,0,0
2020/2/23,28,2,1,0,0,0
2020/2/24,30,2,1,0,0,0
2020/2/25,31,1,1,0,0,0
2020/2/26,32,1,1,0,0,0
2020/2/27,32,0,1,0,0,0
2020/2/28,34,2,1,0,0,0
2020/2/29,39,5,1,0,0,0
2020/3/1,40,1,1,0,0,0
2020/3/2,41,1,1,0,0,0
2020/3/3,42,1,1,0,0,0
2020/3/4,42,0,1,0,0,0
2020/3/5,44,2,1,0,0,0
2020/3/6,45,1,1,0,0,0
2020/3/7,45,0,1,0,0,0
2020/3/8,45,0,1,0,0,0
2020/3/9,45,0,1,0,0,0
2020/3/10,47,2,1,0,0,0
2020/3/11,48,1,1,0,0,0
2020/3/12,49,1,1,0,0,0
2020/3/13,50,1,1,0,0,0
2020/3/14,53,3,1,0,0,0
2020/3/15,59,6,1,0,0,0
2020/3/16,67,8,1,0,0,0
2020/3/17,77,10,1,0,0,0
2020/3/18,100,23,1,0,0,0
2020/3/19,108,8,1,0,0,0
2020/3/20,135,27,2,1,0,0
2020/3/21,153,18,2,0,0,0
2020/3/22,169,16,2,0,0,0
2020/3/23,195,26,2,0,0,0
2020/3/24,215,20,2,0,0,0
2020/3/25,235,20,2,0,0,0
2020/3/26,252,17,2,0,0,0
2020/3/27,267,15,2,0,0,0
2020/3/28,283,16,2,0,0,0
2020/3/29,298,15,2,0,0,0
2020/3/30,306,8,5,3,0,0
2020/3/31,322,16,5,0,0,0
2020/4/1,329,7,5,0,0,0
2020/4/2,339,10,5,0,0,0
2020/4/3,348,9,5,0,0,0
2020/4/4,355,7,5,0,0,0
2020/4/5,363,8,5,0,0,0
2020/4/6,373,10,5,0,0,0
2020/4/7,376,3,5,0,0,0
2020/4/8,379,3,5,0,0,0
2020/4/9,380,1,5,0,0,0
2020/4/10,382,2,6,1,0,0
2020/4/11,385,3,6,0,0,0
2020/4/12,388,3,6,0,0,0
2020/4/13,393,5,6,0,0,0
2020/4/14,393,0,6,0,0,0
2020/4/15,395,2,6,0,0,0
2020/4/16,395,0,6,0,0,0
2020/4/17,395,0,6,0,0,0
2020/4/18,398,3,6,0,0,0
2020/4/19,420,22,6,0,0,0
2020/4/20,422,2,6,0,0,0
2020/4/21,425,3,6,0,0,0
2020/4/22,426,1,6,0,0,0
2020/4/23,427,1,6,0,0,0
2020/4/24,428,1,6,0,0,0
2020/4/25,429,1,6,0,0,0
2020/4/26,429,0,6,0,0,0
2020/4/27,429,0,6,0,0,0
2020/4/28,429,0,6,0,0,0
2020/4/29,429,0,6,0,0,0
2020/4/30,429,0,6,0,0,0
2020/5/1,429,0,6,0,0,0
2020/5/2,432,3,6,0,0,0
2020/5/3,436,4,6,0,0,0
2020/5/4,438,2,6,0,0,0
2020/5/5,438,0,6,0,0,0
2020/5/6,439,1,6,0,0,0
2020/5/7,440,1,6,0,0,0
2020/5/8,440,0,6,0,0,0
2020/5/9,440,0,6,0,0,0
2020/5/10,440,0,6,0,0,0
2020/5/11,440,0,7,1,0,0
2020/5/12,440,0,7,0,0,0
2020/5/13,440,0,7,0,0,0
2020/5/14,440,0,7,0,0,0
2020/5/15,440,0,7,0,0,0
2020/5/16,440,0,7,0,0,0
2020/5/17,440,0,7,0,0,0
2020/5/18,440,0,7,0,0,0
2020/5/19,440,0,7,0,0,0
2020/5/20,440,0,7,0,0,0
2020/5/21,440,0,7,0,0,0
2020/5/22,441,1,7,0,0,0
2020/5/23,441,0,7,0,0,0
2020/5/24,441,0,7,0,0,0
2020/5/25,441,0,7,0,0,0
2020/5/26,441,0,7,0,0,0
2020/5/27,441,0,7,0,0,0
2020/5/28,441,0,7,0,0,0
2020/5/29,442,1,7,0,0,0
2020/5/30,442,0,7,0,0,0
2020/5/31,442,0,7,0,0,0
2020/6/1,443,1,7,0,0,0
2020/6/2,443,0,7,0,0,0
2020/6/3,443,0,7,0,0,0
2020/6/4,443,0,7,0,0,0
2020/6/5,443,0,7,0,0,0
2020/6/6,443,0,7,0,0,0
2020/6/7,443,0,7,0,0,0
2020/6/8,443,0,7,0,0,0
2020/6/9,443,0,7,0,0,0
2020/6/10,443,0,7,0,0,0
2020/6/11,443,0,7,0,0,0
2020/6/12,443,0,7,0,0,0
2020/6/13,443,0,7,0,0,0
2020/6/14,443,0,7,0,0,0
2020/6/15,445,2,7,0,0,0
2020/6/16,445,0,7,0,0,0
2020/6/17,445,0,7,0,0,0
2020/6/18,446,1,7,0,0,0
2020/6/19,446,0,7,0,0,0
2020/6/20,446,0,7,0,0,0
2020/6/21,446,0,7,0,0,0
2020/6/22,446,0,7,0,0,0
2020/6/23,446,0,7,0,0,0
2020/6/24,446,0,7,0,0,0
2020/6/25,447,1,7,0,0,0
2020/6/26,447,0,7,0,0,0
2020/6/27,447,0,7,0,0,0
2020/6/28,447,0,7,0,0,0
2020/6/29,447,0,7,0,0,0
2020/6/30,447,0,7,0,0,0
2020/7/1,447,0,7,0,0,0
2020/7/2,448,1,7,0,0,0
2020/7/3,449,1,7,0,0,0
2020/7/4,449,0,7,0,0,0
2020/7/5,449,0,7,0,0,0
2020/7/6,449,0,7,0,0,0
2020/7/7,449,0,7,0,0,0
2020/7/8,449,0,7,0,0,0
2020/7/9,449,0,7,0,0,0
2020/7/10,449,0,7,0,0,0
2020/7/11,451,2,7,0,0,0
2020/7/12,451,0,7,0,0,0
2020/7/13,451,0,7,0,0,0
2020/7/14,451,0,7,0,0,0
2020/7/15,451,0,7,0,0,0
2020/7/16,451,0,7,0,0,0
2020/7/17,451,0,7,0,0,0
2020/7/18,451,0,7,0,0,0
2020/7/19,451,0,7,0,0,0
2020/7/20,451,0,7,0,0,0
2020/7/21,451,0,7,0,0,0
2020/7/22,455,4,7,0,0,0
2020/7/23,455,0,7,0,0,0
2020/7/24,458,3,7,0,0,0
2020/7/25,458,0,7,0,0,0
2020/7/26,458,0,7,0,0,0
2020/7/27,462,4,7,0,0,0
2020/7/28,467,5,7,0,0,0
2020/7/29,467,0,7,0,0,0
2020/7/30,467,0,7,0,0,0
2020/7/31,467,0,7,0,0,0
2020/8/1,474,7,7,0,0,0
2020/8/2,475,1,7,0,0,0
2020/8/3,474,-1,7,0,0,0
2020/8/4,476,2,7,0,0,0
2020/8/5,476,0,7,0,0,0
2020/8/6,477,1,7,0,0,0
2020/8/7,477,0,7,0,0,0
2020/8/8,479,2,7,0,0,0
2020/8/9,477,-2,7,0,0,0
2020/8/10,477,0,7,0,0,0
2020/8/11,480,3,7,0,0,0
2020/8/12,481,1,7,0,0,0
2020/8/13,481,0,7,0,0,0
2020/8/14,481,0,7,0,0,0
2020/8/15,482,1,7,0,0,0
2020/8/16,484,2,7,0,0,0
2020/8/17,485,1,7,0,0,0
2020/8/18,486,1,7,0,0,0
2020/8/19,486,0,7,0,0,0
2020/8/20,486,0,7,0,0,0
2020/8/21,487,1,7,0,0,0
2020/8/22,487,0,7,0,0,0
2020/8/23,487,0,7,0,0,0
2020/8/24,487,0,7,0,0,0
2020/8/25,487,0,7,0,0,0
2020/8/26,487,0,7,0,0,0
2020/8/27,487,0,7,0,0,0
2020/8/28,487,0,7,0,0,0
2020/8/29,488,1,7,0,0,0
2020/8/30,488,0,7,0,0,0
2020/8/31,488,0,7,0,0,0
2020/9/1,488,0,7,0,0,0
2020/9/2,489,1,7,0,0,0
2020/9/3,489,0,7,0,0,0
2020/9/4,490,1,7,0,0,0
2020/9/5,492,2,7,0,0,0
2020/9/6,493,1,7,0,0,0
2020/9/7,494,1,7,0,0,0
2020/9/8,495,1,7,0,0,0
2020/9/9,495,0,7,0,0,0
2020/9/10,496,1,7,0,0,0
2020/9/11,498,2,7,0,0,0
2020/9/12,498,0,7,0,0,0
2020/9/13,498,0,7,0,0,0
2020/9/14,499,1,7,0,0,0
2020/9/15,499,0,7,0,0,0
2020/9/16,500,1,7,0,0,0
2020/9/17,503,3,7,0,0,0
2020/9/18,503,0,7,0,0,0
2020/9/19,506,3,7,0,0,0
2020/9/20,507,1,7,0,0,0
2020/9/21,509,2,7,0,0,0
2020/9/22,509,0,7,0,0,0
2020/9/23,509,0,7,0,0,0
2020/9/24,509,0,7,0,0,0
2020/9/25,510,1,7,0,0,0
2020/9/26,510,0,7,0,0,0
2020/9/27,510,0,7,0,0,0
2020/9/28,513,3,7,0,0,0
2020/9/29,513,0,7,0,0,0
2020/9/30,514,1,7,0,0,0
2020/10/1,515,1,7,0,0,0
2020/10/2,517,2,7,0,0,0
2020/10/3,517,0,7,0,0,0
2020/10/4,517,0,7,0,0,0
2020/10/5,518,1,7,0,0,0
2020/10/6,521,3,7,0,0,0
2020/10/7,523,2,7,0,0,0
2020/10/8,524,1,7,0,0,0
2020/10/9,527,3,7,0,0,0
2020/10/10,527,0,7,0,0,0
2020/10/11,527,0,7,0,0,0
2020/10/12,529,2,7,0,0,0
2020/10/13,530,1,7,0,0,0
2020/10/14,530,0,7,0,0,0
2020/10/15,531,1,7,0,0,0
2020/10/16,535,4,7,0,0,0
2020/10/17,535,0,7,0,0,0
2020/10/18,535,0,7,0,0,0
2020/10/19,540,5,7,0,0,0
2020/10/20,543,3,7,0,0,0
2020/10/21,544,1,7,0,0,0
2020/10/22,548,4,7,0,0,0
2020/10/23,548,0,7,0,0,0
2020/10/24,550,2,7,0,0,0
2020/10/25,550,0,7,0,0,0
2020/10/26,550,0,7,0,0,0
2020/10/27,550,0,7,0,0,0
2020/10/28,550,0,7,0,0,0
2020/10/29,553,3,7,0,0,0
